state,color
Tennessee,4.0
Wyoming,4.0
Missouri,4.0
Arkansas,4.0
Indiana,4.0
North Carolina,4.0
West Virginia,4.0
Louisiana,4.0
Maine,2.0
Texas,4.0
North Dakota,4.0
Idaho,4.0
Montana,2.0
Iowa,4.0
Nebraska,4.0
Colorado,2.0
South Carolina,4.0
Mississippi,4.0
Oklahoma,4.0
Georgia,4.0
Wisconsin,2.0
Alabama,4.0
Utah,4.0
Arizona,4.0
New Jersey,2.0
Kansas,4.0
Alaska,4.0
Kentucky,2.0
Ohio,2.0
South Dakota,4.0
Florida,4.0
Pennsylvania,2.0
Connecticut,0.0
Washington,0.0
Maryland,0.0
Delaware,0.0
Nevada,0.0
Illinois,0.0
California,0.0
New York,0.0
New Hampshire,0.0
New Mexico,0.0
Hawaii,0.0
Virginia,0.0
Minnesota,0.0
Vermont,0.0
Massachusetts,0.0
Oregon,0.0
Michigan,0.0
Rhode Island,0.0
